id,term,name
,118,[[b;#fff;]n.]
,119,"[[b;#fff;]/B·B·S/]"
,119,[[b;#fff;]n.]
,120,[[b;#fff;]//]
,120,[[b;#fff;]n.]
,122,[[b;#fff;]vt.]
,123,[[b;#fff;]n.]
,124,"[[b;#fff;]n.,v.]"
,125,[[b;#fff;]n.]
,126,[[b;#fff;]n.]
,127,[[b;#fff;]n.]
,128,[[b;#fff;]n.]
,129,[[b;#fff;]n.]
,130,[[b;#fff;]adj.]
,131,"[[b;#fff;]/b@r·zer´klee/]"
,131,[[b;#fff;]n.]
,132,"[[b;#fff;]/bay´t@/]"
,132,"[[b;#fff;]/be´t@/]"
,132,"[[b;#fff;]/bee´t@/]"
,132,[[b;#fff;]n.]
,133,"[[b;#fff;]/B·F·I/]"
,133,[[b;#fff;]n.]
,134,[[b;#fff;]//]
,135,[[b;#fff;]n.]
,136,[[b;#fff;]n.]
,137,[[b;#fff;]/bif/]
,137,[[b;#fff;]vt.]
,138,[[b;#fff;]n.]
,139,[[b;#fff;]n.]
,140,[[b;#fff;]n.]
,141,[[b;#fff;]n.]
,142,[[b;#fff;]adj.]
,143,"[[b;#fff;]/big´nuhm/]"
,143,[[b;#fff;]n.]
,144,[[b;#fff;]n.]
,146,[[b;#fff;]n.]
,147,[[b;#fff;]n.]
,148,[[b;#fff;]n.]
,149,[[b;#fff;]n.]
,150,[[b;#fff;]n.]
,151,[[b;#fff;]n.]
,152,[[b;#fff;]n.]
,153,[[b;#fff;]n.]
,154,"[[b;#fff;]n.,obs.]"
,155,"[[b;#fff;]/bit´blit/]"
,155,[[b;#fff;]n.]
,156,[[b;#fff;]pl.n.]
,157,"[[b;#fff;]/bit´ee boks/]"
,157,[[b;#fff;]n.]
,158,"[[b;#fff;]/bik´see/]"
,158,[[b;#fff;]n.]
,159,[[b;#fff;]n.]
,161,"[[b;#fff;]n.,vt.]"
,162,[[b;#fff;]n.]
,164,[[b;#fff;]v.]
,165,[[b;#fff;]/blarg/]
,165,[[b;#fff;]n.]
,167,[[b;#fff;]n.]
,168,[[b;#fff;]/blech/]
,168,[[b;#fff;]interj.]
,169,"[[b;#fff;]/blech'@·r@s/]"
,169,[[b;#fff;]adj.]
,170,"[[b;#fff;]/blink'@n·li:tz/]"
,170,[[b;#fff;]n.]
,171,[[b;#fff;]/blit/]
,171,[[b;#fff;]vt.]
,172,"[[b;#fff;]/blit´r/]"
,172,[[b;#fff;]n.]
,173,"[[b;#fff;]/bliv'@t/]"
,173,[[b;#fff;]n.]
,174,[[b;#fff;]n.]
,176,[[b;#fff;]v.]
,177,[[b;#fff;]n.]
,178,[[b;#fff;]n.]
,181,"[[b;#fff;]/bloh @n ee´prom/]"
,181,[[b;#fff;]v.]
,182,[[b;#fff;]vt.]
,183,[[b;#fff;]vi.]
,184,[[b;#fff;]vt.]
,185,[[b;#fff;]vi.]
,186,"[[b;#fff;]/B·L·T/]"
,186,[[b;#fff;]/bl@t/]
,186,[[b;#fff;]/belt/]
,186,"[[b;#fff;]n.,vt.]"
,188,[[b;#fff;]n.]
,189,[[b;#fff;]n.]
,190,[[b;#fff;]n.]
,191,[[b;#fff;]n.]
,192,"[[b;#fff;]/bler´gl/]"
,192,[[b;#fff;]n.]
,193,"[[b;#fff;]/B·N·F/]"
,193,[[b;#fff;]n.]
,194,[[b;#fff;]n.]
,195,[[b;#fff;]n.]
,196,[[b;#fff;]n.]
,197,[[b;#fff;]n.]
,199,"[[b;#fff;]/B·O·F/]"
,199,[[b;#fff;]/bof/]
,199,[[b;#fff;]n.]
,200,[[b;#fff;]//]
,200,[[b;#fff;]n.]
,201,"[[b;#fff;]/boh`goh·sort´/]"
,201,[[b;#fff;]n.]
,202,"[[b;#fff;]/boh·gom'·@t·er/]"
,202,[[b;#fff;]n.]
,203,"[[b;#fff;]/bo´go·mips/]"
,203,[[b;#fff;]n.]
,204,"[[b;#fff;]/boh´gon/]"
,204,[[b;#fff;]n.]
,205,"[[b;#fff;]/boh´gon fil'tr/]"
,205,[[b;#fff;]n.]
,206,"[[b;#fff;]/boh´gon fluhks/]"
,206,[[b;#fff;]n.]
,207,"[[b;#fff;]/boh·go´s@·tee/]"
,207,[[b;#fff;]n.]
,208,"[[b;#fff;]/boh·go´t@·fi:/]"
,208,[[b;#fff;]vt.]
,209,"[[b;#fff;]/bohg owt/]"
,209,[[b;#fff;]vi.]
,210,[[b;#fff;]adj.]
,211,"[[b;#fff;]/bohr buhg/]"
,211,[[b;#fff;]n.]
,212,[[b;#fff;]/boynk/]
,214,[[b;#fff;]n.]
,215,[[b;#fff;]/bonk/]
,215,[[b;#fff;]/oyf/]
,215,[[b;#fff;]interj.]
,217,"[[b;#fff;]v.,n.]"
,218,[[b;#fff;]n.]
,219,[[b;#fff;]adj.]
,220,[[b;#fff;]n]
,221,[[b;#fff;]n.]
,222,[[b;#fff;]v.]
,223,[[b;#fff;]n.]
,224,[[b;#fff;]v.]
,225,[[b;#fff;]n.]
,226,[[b;#fff;]n.]
,227,[[b;#fff;]n.]
,228,[[b;#fff;]n.]
